"main", "75", "SYSTEM", "Method Entered", ""
"main", "76", "SYSTEM", "Variable Write", "context=junit.runner.BaseTestRunner#getPreference:1, key=""maxmessage"""
"main", "77", "SYSTEM", "Line Step", "<source unavailable>"
"main", "78", "SYSTEM", "Field Read", "context=junit.runner.BaseTestRunner, fPreferences"
"main", "79", "SYSTEM", "Variable Write", "context=junit.runner.BaseTestRunner#getPreference:1, result=null"
"main", "80", "SYSTEM", "Method Exit", "returner=junit.runner.BaseTestRunner#getPreference:1, value=null"
"main", "81", "SYSTEM", "Method Returned", ""
"main", "82", "SYSTEM", "Line Step", "<source unavailable>"
"main", "83", "SYSTEM", "Variable Write", "context=junit.runner.BaseTestRunner#getPreference:1, value=null"
"main", "84", "SYSTEM", "Line Step", "<source unavailable>"
"main", "85", "SYSTEM", "Variable Write", "context=junit.runner.BaseTestRunner#getPreference:1, intValue=500"
"main", "86", "SYSTEM", "Line Step", "<source unavailable>"
"main", "87", "SYSTEM", "Line Step", "<source unavailable>"
"main", "88", "SYSTEM", "Variable Write", "context=junit.runner.BaseTestRunner#getPreference:1, result=500"
"main", "89", "SYSTEM", "Method Exit", "returner=junit.runner.BaseTestRunner#getPreference:1, value=500"
"main", "90", "SYSTEM", "Method Returned", ""
"main", "91", "SYSTEM", "Line Step", "<source unavailable>"
"main", "92", "SYSTEM", "Field Write", "context=junit.runner.BaseTestRunner, fgMaxMessageLength=500"
"main", "93", "SYSTEM", "Line Step", "<source unavailable>"
"main", "94", "SYSTEM", "Method Exit", "returner=junit.runner.BaseTestRunner:1#BaseTestRunner:1, value=<void>"
"main", "95", "SYSTEM", "Method Returned", ""
"main", "96", "SYSTEM", "Line Step", "<source unavailable>"
"main", "97", "SYSTEM", "Method Exit", "returner=junit.awtui.TestRunner:1#junit.awtui.TestRunner:1, value=<void>"
"main", "98", "SYSTEM", "Method Returned", ""
"main", "99", "SYSTEM", "Line Step", "<source unavailable>"
"main", "100", "SYSTEM", "Method Exit", "returner=junit.ui.TestRunner:1#TestRunner:1, value=<void>"
"main", "101", "SYSTEM", "Method Returned", ""
"main", "102", "SYSTEM", "Line Step", "<source unavailable>"
"main", "103", "SYSTEM", "Method Call", "caller=junit.ui.TestRunner#main:1, target=junit.awtui.TestRunner:1#start:1"
"main", "104", "SYSTEM", "Method Entered", ""
"main", "105", "SYSTEM", "Variable Write", "context=junit.awtui.TestRunner:1#start:1, args=java.lang.String[0] (id=79)"
"main", "106", "SYSTEM", "Line Step", "<source unavailable>"
"main", "107", "SYSTEM", "Method Call", "caller=junit.awtui.TestRunner:1#start:1, target=junit.runner.BaseTestRunner:1#processArguments:1"
"main", "108", "SYSTEM", "Method Entered", ""
"main", "109", "SYSTEM", "Variable Write", "context=junit.runner.BaseTestRunner:1#processArguments:1, args=java.lang.String[0] (id=79)"
"main", "110", "SYSTEM", "Line Step", "<source unavailable>"
"main", "111", "SYSTEM", "Variable Write", "context=junit.runner.BaseTestRunner:1#processArguments:1, suiteName=null"
"main", "112", "SYSTEM", "Line Step", "<source unavailable>"
"main", "113", "SYSTEM", "Line Step", "<source unavailable>"
"main", "114", "SYSTEM", "Variable Write", "context=junit.runner.BaseTestRunner:1#processArguments:1, result=null"
"main", "115", "SYSTEM", "Method Exit", "returner=junit.runner.BaseTestRunner:1#processArguments:1, value=null"
"main", "116", "SYSTEM", "Method Returned", ""
"main", "117", "SYSTEM", "Line Step", "<source unavailable>"
"main", "118", "SYSTEM", "Variable Write", "context=junit.awtui.TestRunner:1#start:1, suiteName=null"
"main", "119", "SYSTEM", "Line Step", "<source unavailable>"
"main", "120", "SYSTEM", "Method Call", "caller=junit.awtui.TestRunner:1#start:1, target=junit.awtui.TestRunner:1#createUI:1"
"main", "121", "SYSTEM", "Method Entered", ""
"main", "122", "SYSTEM", "Variable Write", "context=junit.awtui.TestRunner:1#createUI:1, suiteName=null"
"main", "123", "SYSTEM", "Line Step", "<source unavailable>"
"main", "124", "SYSTEM", "Variable Write", "context=junit.awtui.TestRunner:1#createUI:1, frame=java.awt.Frame (id=105)"
"main", "125", "SYSTEM", "Line Step", "<source unavailable>"
"main", "126", "SYSTEM", "Method Call", "caller=junit.awtui.TestRunner:1#createUI:1, target=junit.awtui.TestRunner:1#loadFrameIcon:1"
"main", "127", "SYSTEM", "Method Entered", ""
"main", "128", "SYSTEM", "Line Step", "<source unavailable>"
"main", "129", "SYSTEM", "Variable Write", "context=junit.awtui.TestRunner:1#loadFrameIcon:1, toolkit=sun.awt.windows.WToolkit (id=106)"
"main", "130", "SYSTEM", "Line Step", "<source unavailable>"
"main", "131", "SYSTEM", "Variable Write", "context=junit.awtui.TestRunner:1#loadFrameIcon:1, url=java.net.URL (id=109)"
"main", "132", "SYSTEM", "Line Step", "<source unavailable>"
"main", "133", "SYSTEM", "Variable Write", "context=junit.awtui.TestRunner:1#loadFrameIcon:1, result=sun.awt.image.ToolkitImage (id=111)"
"main", "134", "SYSTEM", "Method Exit", "returner=junit.awtui.TestRunner:1#loadFrameIcon:1, value=sun.awt.image.ToolkitImage (id=111)"
"main", "135", "SYSTEM", "Method Returned", ""
"main", "136", "SYSTEM", "Line Step", "<source unavailable>"
"main", "137", "SYSTEM", "Variable Write", "context=junit.awtui.TestRunner:1#createUI:1, icon=sun.awt.image.ToolkitImage (id=111)"
"main", "138", "SYSTEM", "Line Step", "<source unavailable>"
"main", "139", "SYSTEM", "Line Step", "<source unavailable>"
"main", "140", "SYSTEM", "Line Step", "<source unavailable>"
"main", "141", "SYSTEM", "Line Step", "<source unavailable>"
"main", "142", "SYSTEM", "Line Step", "<source unavailable>"
"main", "143", "SYSTEM", "Variable Write", "context=junit.awtui.TestRunner:1#createUI:1, finalFrame=java.awt.Frame (id=105)"
"main", "144", "SYSTEM", "Line Step", "<source unavailable>"
"main", "145", "SYSTEM", "Line Step", "<source unavailable>"
"main", "146", "SYSTEM", "Type Load", "class=java.awt.event.WindowAdapter"
"main", "147", "SYSTEM", "New Object", "object=junit.awtui.TestRunner$3:1"
"main", "148", "SYSTEM", "Method Call", "caller=junit.awtui.TestRunner:1#createUI:1, target=junit.awtui.TestRunner$3:1#<init>:1"
"main", "149", "SYSTEM", "Method Entered", ""
"main", "150", "SYSTEM", "Line Step", "<source unavailable>"
"main", "151", "SYSTEM", "Method Exit", "returner=junit.awtui.TestRunner$3:1#<init>:1, value=<void>"
"main", "152", "SYSTEM", "Method Returned", ""
"main", "153", "SYSTEM", "Line Step", "<source unavailable>"
"main", "154", "SYSTEM", "Line Step", "<source unavailable>"
"main", "155", "SYSTEM", "Variable Write", "context=junit.awtui.TestRunner:1#createUI:1, mb=java.awt.MenuBar (id=123)"
"main", "156", "SYSTEM", "Line Step", "<source unavailable>"
"main", "157", "SYSTEM", "Method Call", "caller=junit.awtui.TestRunner:1#createUI:1, target=junit.awtui.TestRunner:1#createMenus:1"
"main", "158", "SYSTEM", "Method Entered", ""
"main", "159", "SYSTEM", "Variable Write", "context=junit.awtui.TestRunner:1#createMenus:1, mb=java.awt.MenuBar (id=123)"
"main", "160", "SYSTEM", "Line Step", "<source unavailable>"
"main", "161", "SYSTEM", "Method Call", "caller=junit.awtui.TestRunner:1#createMenus:1, target=junit.awtui.TestRunner:1#createJUnitMenu:1"
"main", "162", "SYSTEM", "Method Entered", ""
"main", "163", "SYSTEM", "Line Step", "<source unavailable>"
"main", "164", "SYSTEM", "Variable Write", "context=junit.awtui.TestRunner:1#createJUnitMenu:1, menu=java.awt.Menu (id=126)"
"main", "165", "SYSTEM", "Line Step", "<source unavailable>"
"main", "166", "SYSTEM", "Variable Write", "context=junit.awtui.TestRunner:1#createJUnitMenu:1, mi=java.awt.MenuItem (id=129)"
"main", "167", "SYSTEM", "Line Step", "<source unavailable>"
"main", "168", "SYSTEM", "Line Step", "<source unavailable>"
"main", "169", "SYSTEM", "New Object", "object=junit.awtui.TestRunner$1:1"
"main", "170", "SYSTEM", "Method Call", "caller=junit.awtui.TestRunner:1#createJUnitMenu:1, target=junit.awtui.TestRunner$1:1#<init>:1"
"main", "171", "SYSTEM", "Method Entered", ""
"main", "172", "SYSTEM", "Line Step", "<source unavailable>"
"main", "173", "SYSTEM", "Method Exit", "returner=junit.awtui.TestRunner$1:1#<init>:1, value=<void>"
"main", "174", "SYSTEM", "Method Returned", ""
"main", "175", "SYSTEM", "Line Step", "<source unavailable>"
"main", "176", "SYSTEM", "Line Step", "<source unavailable>"
"main", "177", "SYSTEM", "Line Step", "<source unavailable>"
"main", "178", "SYSTEM", "Line Step", "<source unavailable>"
"main", "179", "SYSTEM", "Variable Write", "context=junit.awtui.TestRunner:1#createJUnitMenu:1, mi=java.awt.MenuItem (id=133)"
"main", "180", "SYSTEM", "Line Step", "<source unavailable>"
"main", "181", "SYSTEM", "Line Step", "<source unavailable>"
"main", "182", "SYSTEM", "New Object", "object=junit.awtui.TestRunner$2:1"
"main", "183", "SYSTEM", "Method Call", "caller=junit.awtui.TestRunner:1#createJUnitMenu:1, target=junit.awtui.TestRunner$2:1#<init>:1"
"main", "184", "SYSTEM", "Method Entered", ""
"main", "185", "SYSTEM", "Line Step", "<source unavailable>"
"main", "186", "SYSTEM", "Method Exit", "returner=junit.awtui.TestRunner$2:1#<init>:1, value=<void>"
"main", "187", "SYSTEM", "Method Returned", ""
"main", "188", "SYSTEM", "Line Step", "<source unavailable>"
"main", "189", "SYSTEM", "Line Step", "<source unavailable>"
"main", "190", "SYSTEM", "Line Step", "<source unavailable>"
"main", "191", "SYSTEM", "Variable Write", "context=junit.awtui.TestRunner:1#createJUnitMenu:1, result=java.awt.Menu (id=126)"
"main", "192", "SYSTEM", "Method Exit", "returner=junit.awtui.TestRunner:1#createJUnitMenu:1, value=java.awt.Menu (id=126)"
"main", "193", "SYSTEM", "Method Returned", ""
"main", "194", "SYSTEM", "Line Step", "<source unavailable>"
"main", "195", "SYSTEM", "Line Step", "<source unavailable>"
"main", "196", "SYSTEM", "Method Exit", "returner=junit.awtui.TestRunner:1#createMenus:1, value=<void>"
"main", "197", "SYSTEM", "Method Returned", ""
"main", "198", "SYSTEM", "Line Step", "<source unavailable>"
"main", "199", "SYSTEM", "Line Step", "<source unavailable>"
"main", "200", "SYSTEM", "Variable Write", "context=junit.awtui.TestRunner:1#createUI:1, suiteLabel=java.awt.Label (id=137)"
"main", "201", "SYSTEM", "Line Step", "<source unavailable>"
"main", "202", "SYSTEM", "Field Write", "context=junit.awtui.TestRunner:1, fSuiteField=java.awt.TextField (id=140)"
"main", "203", "SYSTEM", "Line Step", "<source unavailable>"
"main", "204", "SYSTEM", "Field Read", "context=junit.awtui.TestRunner:1, fSuiteField"
"main", "205", "SYSTEM", "Line Step", "<source unavailable>"
"main", "206", "SYSTEM", "Field Read", "context=junit.awtui.TestRunner:1, fSuiteField"
"main", "207", "SYSTEM", "Line Step", "<source unavailable>"
"main", "208", "SYSTEM", "Field Read", "context=junit.awtui.TestRunner:1, fSuiteField"
"main", "209", "SYSTEM", "Field Read", "context=junit.awtui.TestRunner, PLAIN_FONT"
"main", "210", "SYSTEM", "Line Step", "<source unavailable>"
"main", "211", "SYSTEM", "Field Read", "context=junit.awtui.TestRunner:1, fSuiteField"
"main", "212", "SYSTEM", "Line Step", "<source unavailable>"
"main", "213", "SYSTEM", "Field Read", "context=junit.awtui.TestRunner:1, fSuiteField"
"main", "214", "SYSTEM", "Line Step", "<source unavailable>"
"main", "215", "SYSTEM", "New Object", "object=junit.awtui.TestRunner$4:1"
"main", "216", "SYSTEM", "Method Call", "caller=junit.awtui.TestRunner:1#createUI:1, target=junit.awtui.TestRunner$4:1#<init>:1"
"main", "217", "SYSTEM", "Method Entered", ""
"main", "218", "SYSTEM", "Line Step", "<source unavailable>"
"main", "219", "SYSTEM", "Method Exit", "returner=junit.awtui.TestRunner$4:1#<init>:1, value=<void>"
"main", "220", "SYSTEM", "Method Returned", ""
"main", "221", "SYSTEM", "Line Step", "<source unavailable>"
"main", "222", "SYSTEM", "Line Step", "<source unavailable>"
"main", "223", "SYSTEM", "Field Read", "context=junit.awtui.TestRunner:1, fSuiteField"
"main", "224", "SYSTEM", "Line Step", "<source unavailable>"
"main", "225", "SYSTEM", "New Object", "object=junit.awtui.TestRunner$5:1"
"main", "226", "SYSTEM", "Method Call", "caller=junit.awtui.TestRunner:1#createUI:1, target=junit.awtui.TestRunner$5:1#<init>:1"
"main", "227", "SYSTEM", "Method Entered", ""
"main", "228", "SYSTEM", "Line Step", "<source unavailable>"
"main", "229", "SYSTEM", "Method Exit", "returner=junit.awtui.TestRunner$5:1#<init>:1, value=<void>"
"main", "230", "SYSTEM", "Method Returned", ""
"main", "231", "SYSTEM", "Line Step", "<source unavailable>"
"main", "232", "SYSTEM", "Line Step", "<source unavailable>"
"main", "233", "SYSTEM", "Field Write", "context=junit.awtui.TestRunner:1, fRun=java.awt.Button (id=149)"
"main", "234", "SYSTEM", "Line Step", "<source unavailable>"
"main", "235", "SYSTEM", "Field Read", "context=junit.awtui.TestRunner:1, fRun"
"main", "236", "SYSTEM", "Line Step", "<source unavailable>"
"main", "237", "SYSTEM", "Field Read", "context=junit.awtui.TestRunner:1, fRun"
"main", "238", "SYSTEM", "Line Step", "<source unavailable>"
"main", "239", "SYSTEM", "New Object", "object=junit.awtui.TestRunner$6:1"
"main", "240", "SYSTEM", "Method Call", "caller=junit.awtui.TestRunner:1#createUI:1, target=junit.awtui.TestRunner$6:1#<init>:1"
"main", "241", "SYSTEM", "Method Entered", ""
"main", "242", "SYSTEM", "Line Step", "<source unavailable>"
"main", "243", "SYSTEM", "Method Exit", "returner=junit.awtui.TestRunner$6:1#<init>:1, value=<void>"
"main", "244", "SYSTEM", "Method Returned", ""
"main", "245", "SYSTEM", "Line Step", "<source unavailable>"
"main", "246", "SYSTEM", "Line Step", "<source unavailable>"
"main", "247", "SYSTEM", "Method Call", "caller=junit.awtui.TestRunner:1#createUI:1, target=junit.runner.BaseTestRunner:1#useReloadingTestSuiteLoader:1"
"main", "248", "SYSTEM", "Method Entered", ""
"main", "249", "SYSTEM", "Line Step", "<source unavailable>"
"main", "250", "SYSTEM", "Method Call", "caller=junit.runner.BaseTestRunner:1#useReloadingTestSuiteLoader:1, target=junit.runner.BaseTestRunner#getPreference:2"
"main", "251", "SYSTEM", "Method Entered", ""
"main", "252", "SYSTEM", "Variable Write", "context=junit.runner.BaseTestRunner#getPreference:2, key=""loading"""
"main", "253", "SYSTEM", "Line Step", "<source unavailable>"
"main", "254", "SYSTEM", "Field Read", "context=junit.runner.BaseTestRunner, fPreferences"
"main", "255", "SYSTEM", "Variable Write", "context=junit.runner.BaseTestRunner#getPreference:2, result=""true"""
"main", "256", "SYSTEM", "Method Exit", "returner=junit.runner.BaseTestRunner#getPreference:2, value=""true"""
"main", "257", "SYSTEM", "Method Returned", ""
"main", "258", "SYSTEM", "Line Step", "<source unavailable>"
"main", "259", "SYSTEM", "Method Call", "caller=junit.runner.BaseTestRunner:1#useReloadingTestSuiteLoader:1, target=junit.runner.BaseTestRunner#inVAJava:1"
"main", "260", "SYSTEM", "Method Entered", ""
"main", "261", "SYSTEM", "Line Step", "<source unavailable>"
"main", "262", "SYSTEM", "Exception Throw", "exception=java.lang.ClassNotFoundException (id=157), thrower=junit.runner.BaseTestRunner#inVAJava:1, framePopped=false"
"main", "263", "SYSTEM", "Exception Catch", "exception=java.lang.ClassNotFoundException (id=157), catcher=junit.runner.BaseTestRunner#inVAJava:1, variable=e"
"main", "264", "SYSTEM", "Variable Write", "context=junit.runner.BaseTestRunner#inVAJava:1, e=java.lang.ClassNotFoundException (id=157)"
"main", "265", "SYSTEM", "Line Step", "<source unavailable>"
"main", "266", "SYSTEM", "Variable Write", "context=junit.runner.BaseTestRunner#inVAJava:1, result=false"
"main", "267", "SYSTEM", "Method Exit", "returner=junit.runner.BaseTestRunner#inVAJava:1, value=false"
"main", "268", "SYSTEM", "Method Returned", ""
"main", "269", "SYSTEM", "Line Step", "<source unavailable>"
"main", "270", "SYSTEM", "Field Read", "context=junit.runner.BaseTestRunner:1, fLoading"
"main", "271", "SYSTEM", "Variable Write", "context=junit.runner.BaseTestRunner:1#useReloadingTestSuiteLoader:1, result=true"
"main", "272", "SYSTEM", "Method Exit", "returner=junit.runner.BaseTestRunner:1#useReloadingTestSuiteLoader:1, value=true"
"main", "273", "SYSTEM", "Method Returned", ""
"main", "274", "SYSTEM", "Line Step", "<source unavailable>"
"main", "275", "SYSTEM", "Variable Write", "context=junit.awtui.TestRunner:1#createUI:1, useLoader=true"
"main", "276", "SYSTEM", "Line Step", "<source unavailable>"
"main", "277", "SYSTEM", "Field Write", "context=junit.awtui.TestRunner:1, fUseLoadingRunner=java.awt.Checkbox (id=160)"
"main", "278", "SYSTEM", "Line Step", "<source unavailable>"
"main", "279", "SYSTEM", "Method Call", "caller=junit.awtui.TestRunner:1#createUI:1, target=junit.runner.BaseTestRunner#inVAJava:2"
"main", "280", "SYSTEM", "Method Entered", ""
"main", "281", "SYSTEM", "Line Step", "<source unavailable>"
