"main", "74", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#addTestMethod:1, constructor=java.lang.reflect.Constructor (id=55)"
"main", "75", "SYSTEM", "Line Step", "<source unavailable>"
"main", "76", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#addTestMethod:1, name=""testSetupErrorInTestSetup"""
"main", "77", "SYSTEM", "Line Step", "<source unavailable>"
"main", "78", "SYSTEM", "Line Step", "<source unavailable>"
"main", "79", "SYSTEM", "Method Call", "caller=junit.framework.TestSuite:2#addTestMethod:1, target=junit.framework.TestSuite:2#isPublicTestMethod:1"
"main", "80", "SYSTEM", "Method Entered", ""
"main", "81", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#isPublicTestMethod:1, m=java.lang.reflect.Method (id=61)"
"main", "82", "SYSTEM", "Line Step", "<source unavailable>"
"main", "83", "SYSTEM", "Method Call", "caller=junit.framework.TestSuite:2#isPublicTestMethod:1, target=junit.framework.TestSuite:2#isTestMethod:1"
"main", "84", "SYSTEM", "Method Entered", ""
"main", "85", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#isTestMethod:1, m=java.lang.reflect.Method (id=61)"
"main", "86", "SYSTEM", "Line Step", "<source unavailable>"
"main", "87", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#isTestMethod:1, name=""testSetupErrorInTestSetup"""
"main", "88", "SYSTEM", "Line Step", "<source unavailable>"
"main", "89", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#isTestMethod:1, parameters=java.lang.Class[0] (id=64)"
"main", "90", "SYSTEM", "Line Step", "<source unavailable>"
"main", "91", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#isTestMethod:1, returnType=java.lang.Class (id=65)"
"main", "92", "SYSTEM", "Line Step", "<source unavailable>"
"main", "93", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#isTestMethod:1, result=true"
"main", "94", "SYSTEM", "Method Exit", "returner=junit.framework.TestSuite:2#isTestMethod:1, value=true"
"main", "95", "SYSTEM", "Method Returned", ""
"main", "96", "SYSTEM", "Line Step", "<source unavailable>"
"main", "97", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#isPublicTestMethod:1, result=true"
"main", "98", "SYSTEM", "Method Exit", "returner=junit.framework.TestSuite:2#isPublicTestMethod:1, value=true"
"main", "99", "SYSTEM", "Method Returned", ""
"main", "100", "SYSTEM", "Line Step", "<source unavailable>"
"main", "101", "SYSTEM", "Line Step", "<source unavailable>"
"main", "102", "SYSTEM", "Line Step", "<source unavailable>"
"main", "103", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#addTestMethod:1, args=java.lang.Object[1] (id=66)"
"main", "104", "SYSTEM", "Line Step", "<source unavailable>"
"main", "105", "SYSTEM", "Method Call", "caller=junit.framework.TestSuite:2#addTestMethod:1, target=Lsun/reflect/DelegatingConstructorAccessorImpl;.newInstance([Ljava/lang/Object;)"
"main", "106", "SYSTEM", "Method Call", "caller=Lsun/reflect/DelegatingConstructorAccessorImpl;.newInstance([Ljava/lang/Object;), target=Lsun/reflect/DelegatingConstructorAccessorImpl;.newInstance([Ljava/lang/Object;)"
"main", "107", "SYSTEM", "Method Call", "caller=Lsun/reflect/DelegatingConstructorAccessorImpl;.newInstance([Ljava/lang/Object;), target=Lsun/reflect/NativeConstructorAccessorImpl;.newInstance([Ljava/lang/Object;)"
"main", "108", "SYSTEM", "Method Call", "caller=Lsun/reflect/NativeConstructorAccessorImpl;.newInstance([Ljava/lang/Object;), target=Lsun/reflect/NativeConstructorAccessorImpl;.newInstance0(Ljava/lang/reflect/Constructor;[Ljava/lang/Object;)"
"main", "109", "SYSTEM", "New Object", "object=junit.tests.ExtensionTest:1"
"main", "110", "SYSTEM", "Method Call", "caller=Lsun/reflect/NativeConstructorAccessorImpl;.newInstance0(Ljava/lang/reflect/Constructor;[Ljava/lang/Object;), target=junit.tests.ExtensionTest:1#junit.tests.ExtensionTest:1"
"main", "111", "SYSTEM", "Method Entered", ""
"main", "112", "SYSTEM", "Variable Write", "context=junit.tests.ExtensionTest:1#junit.tests.ExtensionTest:1, name=""testSetupErrorInTestSetup"""
"main", "113", "SYSTEM", "Line Step", "<source unavailable>"
"main", "114", "SYSTEM", "Method Call", "caller=junit.tests.ExtensionTest:1#junit.tests.ExtensionTest:1, target=junit.framework.TestCase:1#junit.framework.TestCase:1"
"main", "115", "SYSTEM", "Method Entered", ""
"main", "116", "SYSTEM", "Variable Write", "context=junit.framework.TestCase:1#junit.framework.TestCase:1, name=""testSetupErrorInTestSetup"""
"main", "117", "SYSTEM", "Line Step", "<source unavailable>"
"main", "118", "SYSTEM", "Method Call", "caller=junit.framework.TestCase:1#junit.framework.TestCase:1, target=junit.framework.Assert:1#junit.framework.Assert:1"
"main", "119", "SYSTEM", "Method Entered", ""
"main", "120", "SYSTEM", "Line Step", "<source unavailable>"
"main", "121", "SYSTEM", "Line Step", "<source unavailable>"
"main", "122", "SYSTEM", "Method Exit", "returner=junit.framework.Assert:1#junit.framework.Assert:1, value=<void>"
"main", "123", "SYSTEM", "Method Returned", ""
"main", "124", "SYSTEM", "Line Step", "<source unavailable>"
"main", "125", "SYSTEM", "Field Write", "context=junit.framework.TestCase:1, fName=""testSetupErrorInTestSetup"""
"main", "126", "SYSTEM", "Line Step", "<source unavailable>"
"main", "127", "SYSTEM", "Method Exit", "returner=junit.framework.TestCase:1#junit.framework.TestCase:1, value=<void>"
"main", "128", "SYSTEM", "Method Returned", ""
"main", "129", "SYSTEM", "Line Step", "<source unavailable>"
"main", "130", "SYSTEM", "Method Exit", "returner=junit.tests.ExtensionTest:1#junit.tests.ExtensionTest:1, value=<void>"
"main", "131", "SYSTEM", "Method Exit", "returner=Lsun/reflect/NativeConstructorAccessorImpl;.newInstance0(Ljava/lang/reflect/Constructor;[Ljava/lang/Object;), value=<void>"
"main", "132", "SYSTEM", "Method Exit", "returner=Lsun/reflect/NativeConstructorAccessorImpl;.newInstance([Ljava/lang/Object;), value=<void>"
"main", "133", "SYSTEM", "Method Exit", "returner=Lsun/reflect/DelegatingConstructorAccessorImpl;.newInstance([Ljava/lang/Object;), value=<void>"
"main", "134", "SYSTEM", "Method Exit", "returner=Lsun/reflect/DelegatingConstructorAccessorImpl;.newInstance([Ljava/lang/Object;), value=<void>"
"main", "135", "SYSTEM", "Method Returned", ""
"main", "136", "SYSTEM", "Line Step", "<source unavailable>"
"main", "137", "SYSTEM", "Method Call", "caller=junit.framework.TestSuite:2#addTestMethod:1, target=junit.framework.TestSuite:2#addTest:1"
"main", "138", "SYSTEM", "Method Entered", ""
"main", "139", "SYSTEM", "Variable Write", "context=junit.framework.TestSuite:2#addTest:1, test=junit.tests.ExtensionTest:1"
"main", "140", "SYSTEM", "Line Step", "<source unavailable>"
"main", "141", "SYSTEM", "Field Read", "context=junit.framework.TestSuite:2, fTests"
