"main", "81", "MessageTest.java:9", "Line Step", "file=MessageTest.java, line=9"
"main", "82", "MessageTest.java:9", "Method Call", "caller=MessageTest#main:1, target=EmailMessage:1#send:1"
"main", "83", "EmailMessage.java:6", "Method Entered", ""
"main", "84", "EmailMessage.java:7", "Line Step", "file=EmailMessage.java, line=7"
"main", "85", "EmailMessage.java:7", "Field Read", "context=EmailMessage:1, messageSender"
"main", "86", "EmailMessage.java:7", "Method Call", "caller=EmailMessage:1#send:1, target=EmailMessageSender:1#sendMessage:1"
"main", "87", "EmailMessageSender.java:4", "Method Entered", ""
"main", "88", "EmailMessageSender.java:5", "Line Step", "file=EmailMessageSender.java, line=5"
"main", "89", "EmailMessageSender.java:6", "Line Step", "file=EmailMessageSender.java, line=6"
"main", "90", "EmailMessageSender.java:6", "Method Exit", "returner=EmailMessageSender:1#sendMessage:1, value=<void>"
"main", "91", "EmailMessage.java:7", "Method Returned", ""
"main", "92", "EmailMessage.java:8", "Line Step", "file=EmailMessage.java, line=8"
"main", "93", "EmailMessage.java:8", "Method Exit", "returner=EmailMessage:1#send:1, value=<void>"
"main", "94", "MessageTest.java:9", "Method Returned", ""
"main", "95", "MessageTest.java:10", "Line Step", "file=MessageTest.java, line=10"
"main", "96", "MessageTest.java:10", "Method Exit", "returner=MessageTest#main:1, value=<void>"
"main", "97", "MessageTest.java:4", "Method Returned", ""
"main", "98", "SYSTEM", "Thread End", ""
"SYSTEM", "99", "SYSTEM", "System End", ""
