"c1","c2","c3","c4","c1-2","c2-2","c3-2","c4-2","c1-3","c2-3","c3-3","c4-3","c1-4","c2-4","c3-4","c4-4","c1-5","c2-5","c3-5","c1-6","c2-6","c3-6","c1-7","c2-7","c3-7","c1-8","c2-8"
"DocumentPrototypeManagerTest","main","DocumentPrototypeManager","getClonedDocument","DocumentPrototypeManager","getClonedDocument","NDAgreement:1","cloneDocument","NDAgreement:1","cloneDocument","AuthorizedSignatory:1","clone","NDAgreement:1","cloneDocument","NDAgreement:2","getAuthorizedSignatory","NDAgreement:1","cloneDocument","NDAgreement:2","NDAgreement:2","getAuthorizedSignatory","AuthorizedSignatory:1","NDAgreement:1","NDAgreement:2","cloneDocument","NDAgreement:1","AuthorizedSignatory:1"
"DocumentPrototypeManagerTest","main","DocumentPrototypeManager","getClonedDocument","DocumentPrototypeManager","getClonedDocument","NDAgreement:1","cloneDocument","NDAgreement:1","cloneDocument","AuthorizedSignatory:1","clone","NDAgreement:1","cloneDocument","NDAgreement:2","setAuthorizedSignatory","NDAgreement:1","cloneDocument","NDAgreement:2","NDAgreement:2","getAuthorizedSignatory","AuthorizedSignatory:1","NDAgreement:1","NDAgreement:2","cloneDocument","NDAgreement:1","AuthorizedSignatory:1"
